name, party
Захаркин Руслан Игоревич,Московское городское отделение политической партии Либерально-демократическая партия России
Казенков Олег Юрьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Лемперт Петр Иванович,Региональное отделение в городе Москве Политической партии Гражданская Платформа
Поселёнов Павел Александрович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Тупикин Дмитрий Васильевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Батышева Татьяна Тимофеевна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Логинов Алексей Михайлович,Московское городское отделение политической партии Либерально-демократическая партия России
Меньшиков Михаил Васильевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Новиков Юрий Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Чуев Александр Викторович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Денисенко Татьяна Ивановна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
