name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Русецкая Маргарита Николаевна,30,9645,155055,31819,316,1799,21.88513753184354,0.9312194259444805,5.301467554664938,True,3,0,1,1,0
Цыба Алексей Николаевич,30,1156,155055,31819,316,1799,21.88513753184354,0.9312194259444805,5.301467554664938,False,3,0,-1,-1,8
Юнеман Роман Александрович,30,9561,155055,31819,316,1799,21.88513753184354,0.9312194259444805,5.301467554664938,False,3,0,-1,0,0
Жандарова Юлия Александровна,31,2349,144846,27625,614,1608,20.606022948510834,2.0571581733507553,5.387476128254096,False,1,0,-1,-1,8
Зверев Сергей Иванович,31,8774,144846,27625,614,1608,20.606022948510834,2.0571581733507553,5.387476128254096,False,1,0,-1,1,0
Милешин Андрей Леонидович,31,2669,144846,27625,614,1608,20.606022948510834,2.0571581733507553,5.387476128254096,False,1,0,-1,-1,3
Никитина Любовь Евгеньевна,31,13173,144846,27625,614,1608,20.606022948510834,2.0571581733507553,5.387476128254096,True,1,1,0,-1,4
Шманцарь Юлия Александровна,31,1755,144846,27625,614,1608,20.606022948510834,2.0571581733507553,5.387476128254096,False,1,0,-1,-1,5
Бернев Владимир Владимирович,32,2192,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,5
Залищак Владимир Борисович,32,2192,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,1,-1,-1,8
Куликов Денис Павлович,32,1665,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,3
Лихачев Клим Сергеевич,32,11679,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,4
Мельникова Ольга Николаевна,32,12119,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,True,1,0,1,1,0
Падалка Сергей Андреевич,32,2155,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,2
Гринченко Владимир Владимирович,33,3127,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,5
Гусева Людмила Ивановна,33,14401,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,True,1,0,1,1,0
Папян Гарегин Гришаевич,33,1132,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,8
Присняк Виктор Владимирович,33,1451,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,7
Смирнов Левон Леонидович,33,11284,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,1,-1,-1,4
Федоров Павел Сергеевич,33,2731,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,3
Гладкова Юлия Генриховна,34,11314,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,1,-1,-1,4
Семенников Александр Григорьевич,34,11888,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,True,0,0,1,1,0
Филатов Александр Иванович,34,2071,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,0,-1,-1,3
Чирков Максим Андреевич,34,4157,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,0,-1,-1,8
Юриков Антон Вадимович,34,2106,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,0,-1,-1,5
Аграновский Дмитрий Владимирович,35,4485,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,-1,4
Васильев Сергей Иванович,35,10754,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,1,-1,-1,8
Малахов Сергей Викторович,35,2866,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,1,0
